privé,Pas public.,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/prive/,,adjectif
prix,,,,,,
probablement,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/probablement/,,adverbe
prochain,,,,,,
profiter,,[sound:profiter.mp4],,https://signsuisse.sgb-fss.ch/fr/lexikon/g/profiter/,,verbe
programme,"""Comme dans """"le programme de la semaine""""""",,,,,
prononcer,,[sound:prononcer.mp4],,https://signsuisse.sgb-fss.ch/fr/lexikon/g/prononcer/,,verbe
protestant,,,,,,religion
précis,,[sound:précis.mp4],,https://signsuisse.sgb-fss.ch/fr/lexikon/g/precis/,,adjectif
prêt,Préparé pour quelque chose.,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/pret/,,
puissant,,,,,,
pull,,,,,,
purée,,,,,,nourriture
pâtes,,,,,,nourriture
Père fouettard,,,,,,
Père Noël,,[sound:Père Noël.mp4],,,,
pétition,,[sound:pétition.mp4],,,https://dico.elix-lsf.fr/dictionnaire/pétition/n.f.-198741,activité
pêcheur,,,,,,profession
quand même,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/quand-meme/,,adverbe formule
raclette,,,,,,nourriture
radio,,,,,,communication technologie
rapide,,[sound:rapide.mp4],,https://signsuisse.sgb-fss.ch/fr/lexikon/g/rapide/,,adjectif
rarement,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/rarement/,,adverbe
recyclable,,[sound:recyclable.mp4],,https://signsuisse.sgb-fss.ch/fr/lexikon/g/recyclable/,,adjectif
refuser,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/refuser/,,verbe
regarder,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/regarder-1/,,verbe
relation,,,,,,
rembourser,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/rembourser/,,verbe
remplacer,,[sound:remplacer.mp4],,https://signsuisse.sgb-fss.ch/fr/lexikon/g/remplacer/,,verbe
renne,,,,,,animal
repas de midi,,,midi + manger,,,formule
reporter,Déplacer une date,,,,,
respect,,,respecter,https://signsuisse.sgb-fss.ch/fr/lexikon/g/respect/,,
respecter,,[sound:respecter.mp4],,https://signsuisse.sgb-fss.ch/fr/lexikon/g/respecter/,,verbe
respirer,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/respirer/,,verbe
ressembler,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/ressembler/,,verbe
retraite,,,,,,
revenir,,,,,,
rhume,,,,,,
risque,,,,,,
robinet,,,,,,
règles (menstruation),,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/regles/,,médecine
réel - réelle,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/reel-reelle/,,
réparer,,,,,,
réunion,,,,,,
réveiller,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/reveiller/,,verbe
s'améliorer,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/sameliorer/,,verbe
s'énerver,,,,,,
Saint Gall,,,,,,canton lieu
Saint Nicolas,,[sound:Saint Nicolas.mp4],,,,
salade verte,,,,,,nourriture
sandwich,,,,,,nourriture
sapin,,,,,,nature
satellite,,[sound:satellite.mp4],,,,
sauce,,,,,,nourriture
saumon,,,,,,animal nourriture
Schaffhouse,,,,,,canton lieu
Schwyz,,,,,,canton lieu
science,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/science-scientifique/,,
scientifique,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/science-scientifique/,,adjectif
se rappeler,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/se-rappeler/,,verbe
se réveiller,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/se-reveiller/,,verbe
se souvenir,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/se-souvenir/,,verbe
sens,Signification.,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/sens/,,
serveur - serveuse,,,,,,
serviette,,,,,,outil
singe,,,,,,animal
soldat,,,,,,
soldes,"Action, prix réduits",,,,,
Soleure,,,,,,canton lieu
sorcier - sorcière,,,,,,profession
soumis-e,,[sound:soumis-e.mp4],,https://signsuisse.sgb-fss.ch/fr/lexikon/g/soumis-soumise/,,adjectif sentiment
souper,,,soir + manger,,,formule
souvenir,,,,,,
spaghettis,,,,,,nourriture
spécial-e,,,,,,adjectif
stylo,,,,,,outil
suisse,,,,,,gentilé
sujet,(à propos de),,,,,
supermarché,,,,,,
surprise,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/surprise/,,sentiment
Sénégal,,,,,,lieu pays
sévère,,,,,,adjectif
taille crayon,,,,,,outil
tard,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/tard/,,adverbe
tatouage,,,,,,
taupe,,[sound:taupe.mp4],,https://signsuisse.sgb-fss.ch/fr/lexikon/g/taupe/,,animal
taureau,,[sound:taureau.mp4],,https://signsuisse.sgb-fss.ch/fr/lexikon/g/taureau/,,animal
tente,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/tente/,,outil
Tessin,,,,,,canton lieu
Thurgovie,,,,,,canton lieu
thème,,,,,,
théorie,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/theorie/,,
tourisme,,,,,,
