Allemagne,,[sound:Allemagne.mp4],,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/allemagne/,,lsf-1 lieu
allemand,Langue germanique.,[sound:Allemagne.mp4],,(homosigne au nom du pays),https://signsuisse.sgb-fss.ch/fr/lexikon/g/allemand/,,lsf-1 
aller,,[sound:aller.mp4],,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/aller/,,lsf-1 verbe
aller chercher,,[sound:aller chercher.mp4],,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/aller-chercher/,,lsf-2 verbe
aller-retour,,[sound:aller-retour.mp4],,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/aller-retour/,,verbe
allergie,,[sound:allergie.mp4],,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/allergie/,,lsf-3 
allumer,P. ex. une lampe.,[sound:allumer.mp4],,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/allumer/,,lsf-1 verbe
allumette,,[sound:allumette.mp4],,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/allumette/,,lsf-1 outil
alors,,[sound:alors.mp4],,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/alors/,,lsf-1 adverbe
amande,,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/amande/,,lsf-4 nourriture nature
ambigu - ambigüe,,,,,,,[manquant] adjectif
ambulance,,[sound:ambulance.mp4],,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/ambulance/,,lsf-2 
amende,Contravention.,[sound:amende.mp4],,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/amende/,,lsf-2 
ami-e,,[sound:ami-e.mp4],,,,,lsf-1 
amoureux - amoureuse,,[sound:amoureux - amoureuse.mp4],,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/amoureux-amoureuse/,,lsf-1 adjectif sentiment
Amérique centrale,,[sound:Amérique centrale.mp4],,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/amerique-centrale/,,lsf-4 lieu
Amérique du nord,,[sound:Amérique du nord.mp4],,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/amerique-du-nord/,,lsf-4 lieu
Amérique du sud,,[sound:Amérique du sud.mp4],,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/amerique-du-sud/,,lsf-4 lieu
ananas,,[sound:ananas.mp4],,,,,lsf-1 nature nourriture
Android,,[sound:Android.mp4],,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/android-1/,,lsf-1 technologie
ange,,[sound:ange.mp4],,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/ange/,https://dico.elix-lsf.fr/dictionnaire/ange/n.m.-130048,lsf-1 
anglais,,[sound:anglais.mp4],,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/anglais/,,lsf-1 
angoisse,,[sound:angoisse.mp4],,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/angoisse/,,lsf-4 
animal,Bête.,,"<img src=""animal.png"">",,https://signsuisse.sgb-fss.ch/fr/lexikon/g/animal-bete/,,lsf-1 nature
anniversaire,,[sound:anniversaire.mp4],,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/anniversaire/,,lsf-1 
annoncer,,[sound:annoncer.mp4],,"(en cours, Elix)",https://signsuisse.sgb-fss.ch/fr/lexikon/g/annoncer/,https://dico.elix-lsf.fr/dictionnaire/annoncer/v.-130331,lsf-2 verbe
annuler,,[sound:annuler.mp4],,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/annuler/,,lsf-2 verbe
année,,[sound:année.mp4],,,,,lsf-1 
antenne,,[sound:antenne.mp4],,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/antenne-1-1/,,lsf-2 technologie
anticorps,,,"<img src=""anticorps.png"">",,,https://www.pisourd.ch/index.php?theme=dicocomplet&id=798,lsf-4 
août,,[sound:août.mp4],,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/aout/,,lsf-1 calendrier
apercevoir,,[sound:apercevoir.mp4],,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/apercevoir/,,lsf-1 verbe verbe-dir
appareil acoustique,,[sound:appareil acoustique.mp4],,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/appareil-acoustique/,,lsf-1 outil
appareil photo,,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/appareil-photo/,,lsf-4 outil
appartement,,[sound:appartement.mp4],,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/appartement/,,lsf-1 
appeler,Attirer l’attention de quelqu’un.,[sound:appeler.mp4],,"En cours, taper légèrement et plusieurs fois avec la main active sur la passive.",https://signsuisse.sgb-fss.ch/fr/lexikon/g/appeler/,https://dico.elix-lsf.fr/dictionnaire/appeler,lsf-3 verbe verbe-dir
Appenzell,Canton suisse.,[sound:Appenzell.mp4],,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/appenzell/,,lsf-2 lieu
application,,[sound:application.mp4],,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/application/,,lsf-2 technologie
apporter,,[sound:apporter.mp4],,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/apporter/,,lsf-1 verbe
apprendre,Lorsque nous ne savions pas quelque chose et que nous l'apprenons.,[sound:apprendre.mp4],,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/apprendre/,,lsf-1 verbe
apprendre par cœur,,[sound:apprendre par cœur.mp4],,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/apprendre-par-coeur/,,lsf-1 formule
après,,[sound:après.mp4],,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/apres/,,lsf-1 préposition
après-midi,,[sound:après-midi.mp4],,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/apres-midi/,,lsf-1 calendrier
apéritif,,[sound:apéritif.mp4],,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/aperitif/,,lsf-2 
arabe,,[sound:arabe.mp4],,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/arabe/,,lsf-4 
araignée,,[sound:araignée.mp4],,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/araignee/,,lsf-1 animal
arbre,,[sound:arbre.mp4],,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/arbre/,,lsf-1 nature
arc-en-ciel,,[sound:arc-en-ciel.mp4],,,,,lsf-1 nature
argent,,[sound:argent.mp4],,,,,lsf-2 
argent (métal),Métal précieux.,[sound:argent (métal).mp4],,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/argent-3/,,lsf-3 
Argentine,,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/argentine/,,lsf-3 lieu
Argovie,Canton suisse.,,,,,,[manquant] lsf-2 lieu
arithmétique,,,,,,,[manquant] lsf-1 mathématique
armoire,,,"<img src=""armoire.png"">",,https://signsuisse.sgb-fss.ch/fr/lexikon/g/armoire/,,lsf-4 outil
arnaque,,,"<img src=""arnaque.png"">",Directionnel.,,https://www.signbank.org/signpuddle2.0/searchword.php?sgn=49&sid=5589,lsf-4 
arracher,,[sound:arracher.mp4],,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/arracher/,,lsf-2 verbe verbe-loc
arriver,,[sound:arriver.mp4],,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/arriver-1/,,lsf-1 verbe
arrière grand-mère,,[sound:arrière grand-mère.mp4],,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/arriere-grand-mamanmere/,https://dico.elix-lsf.fr/dictionnaire/arrière-grand-mère/n.f.-132196,lsf-1 famille
arrière grand-père,,[sound:arrière grand-père.mp4],,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/arriere-grand-papapere/,https://dico.elix-lsf.fr/dictionnaire/arrière-grand-père/n.m.-132199,lsf-1 famille
arroser,,,,,,,[manquant] lsf-2 
arrêter,"Appréhender, emprisonner, capturer.",[sound:arrêter.mp4],,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/arreter-2/,,lsf-2 verbe verbe-dir
arrêter (cesser),"Cesser d'agir, de faire quelque chose.",[sound:arrêter (cesser).mp4],,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/arreter-1/,,lsf-1 verbe
artificiel - artificielle,,,,,https://signsuisse.sgb-fss.ch/fr/lexikon/g/artificiel-artificielle/,,lsf-4 adjectif
